type,title,release_year,rating,duration,listed_in,description,show_id,director,cast,country,date_added
Movie,Mr. Magoo,1997,PG,88 min,"Action-Adventure, Comedy, Crime",Clueless Mr. Magoo sets out to get back a stolen precious gem.,s374,Stanley Tong,"Leslie Nielsen, Kelly Lynch, Ernie Hudson, Stephen Tobolowsky, Nick Chinlund, Matt Keeslar",United States,"Friday, November 6, 2020"
Movie,The Sorcerer's Apprentice,2010,PG,111 min,"Action-Adventure, Fantasy",A modern-day sorcerer must make his seemingly average recruit into the ultimate apprentice.,s379,Jon Turteltaub,"Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Miller",United States,"Friday, October 30, 2020"
Movie,Marvel's Iron Man & Captain America: Heroes United,2014,PG,72 min,"Action-Adventure, Animation, Science Fiction",Iron Man and Captain America battle the Red Skull and Taskmaster.,s390,Leo Riley,"Adrian Pasdar, Roger Smith, Fred Tatasciore, David Kaye, Liam O'Brien, Clancy Brown",United States,"Friday, October 16, 2020"
Movie,Mr. Holland's Opus,1996,PG,143 min,"Drama, Music",A musician finds his passion when he takes a “day job” as a music teacher.,s398,Stephen Herek,"Richard Dreyfuss, Glenne Headly, Jay Thomas, W.H. Macy, Alicia Witt, Jean Kelly",United States,"Friday, October 2, 2020"
Movie,Hidden Figures,2016,PG,128 min,"Biographical, Drama, Family",A story about three women at NASA who helped launch John Glenn into orbit.,s400,Theodore Melfi,"Taraji Henson, Octavia Spencer, Janelle Monáe, Kevin Costner, Kirsten Dunst, Jim Parsons",United States,"Friday, September 25, 2020"
Movie,Morning Light,2008,PG,99 min,"Documentary, Sports","Fifteen rookie sailors race to be part of the ""Morning Light"" crew.",s411,Mark Monroe,Patrick Warburton,United States,"Friday, September 18, 2020"
Movie,D2: The Mighty Ducks,1994,PG,107 min,"Comedy, Drama, Family",The Mighty Ducks face the meanest team on ice at the Junior Goodwill Games.,s417,Sam Weisman,"Emilio Estevez, Michael Tucker, Jan Rubeš, Kathryn Erbe, Joshua Jackson, Elden Ratliff",United States,"Friday, September 4, 2020"
Movie,D3: The Mighty Ducks,1996,PG,104 min,"Comedy, Coming of Age, Drama",The Mighty Ducks inherit a new coach and a new set of problems.,s418,Robert Lieberman,"Emilio Estevez, Jeffrey Nordling, David Selby, Heidi Kling, Joshua Jackson, Elden Ratliff",United States,"Friday, September 4, 2020"
Movie,Beauty and the Beast,2017,PG,138 min,"Family, Fantasy, Musical",Belle must look beyond the Beast’s exterior to find the true Prince within.,s424,Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Kevin Kline, Josh Gad, Ewan McGregor",United States,"Friday, August 21, 2020"
Movie,The One and Only Ivan,2020,PG,95 min,"Drama, Family, Fantasy",An adaptation of the award-winning book about a very special gorilla.,s426,Thea Sharrock,"Sam Rockwell, Angelina Jolie, Danny DeVito, Helen Mirren, Brooklynn Prince, Ramón Rodríguez",United States,"Friday, August 21, 2020"
Movie,Magic Camp,2020,PG,101 min,"Comedy, Family",A group of misfit campers help a down-on-his-luck magician rediscover his love of magic.,s432,Mark Waters,"Adam DeVine, Gillian Jacobs, Nathaniel McIntyre, Jeffrey Tambor, Cole Sand, Isabella Crovetti",United States,"Friday, August 14, 2020"
Movie,The Greatest Showman,2017,PG,106 min,"Biographical, Drama, Family",A bold and original musical celebrating the birth of show business and dreams coming to life.,s438,Michael Gracey,"Hugh Jackman, Zac Efron, Michelle Williams, Rebecca Ferguson, Zendaya , Keala Settle",United States,"Friday, August 14, 2020"
Movie,Incredibles 2,2018,PG,118 min,"Action-Adventure, Animation, Family",The Incredibles spring into action when a dangerous new villain emerges.,s455,Brad Bird,"Craig Nelson, Holly Hunter, Sarah Vowell, Huckleberry Milner, Catherine Keener, Eli Fucile",United States,"Friday, July 31, 2020"
Movie,Diary of a Wimpy Kid: The Long Haul,2017,PG,92 min,"Comedy, Family",A trip to Meemaw’s 90th birthday takes a detour due to Greg’s scheme to attend a gaming convention!,s468,David Bowers,"Jason Drucker, Alicia Silverstone, Tom Scott, Charlie Wright, Owen Asztalos, Dylan Walters",United States,"Friday, July 17, 2020"
Movie,Diary of a Wimpy Kid: Rodrick Rules,2011,PG,100 min,"Comedy, Family","In 7th grade, Greg must bond with his brother, Rodrick while also impressing the new girl in town.",s481,David Bowers,"Zachary Gordon, Devon Bostick, Rachael Harris, Robert Capron, Steve Zahn",United States,"Friday, July 3, 2020"
Movie,Race to Witch Mountain,2009,PG,100 min,"Action-Adventure, Family, Science Fiction",A Las Vegas cab driver helps two aliens disguised as teens get home to save their planet... and ours.,s484,Andy Fickman,"Dwayne Johnson, AnnaSophia Robb, Carla Gugino, Ciarán Hinds, Alexander Ludwig, Tom Scott",United States,"Friday, July 3, 2020"
Movie,The Big Green,1995,PG,100 min,"Comedy, Family, Sports",A group of bored misfits become local soccer heroes in a sleepy Texas town.,s485,Holly Sloan,"Steve Guttenberg, Olivia d'Abo, Jay Sanders, John Terry, Chauncey Leopardi, Patrick Renna",United States,"Friday, July 3, 2020"
Movie,The Mighty Ducks,1992,PG,104 min,"Comedy, Drama, Sports",A hotshot lawyer reluctantly coaches a hapless pee wee hockey team.,s486,Stephen Herek,"Emilio Estevez, Joss Ackland, Lane Smith, Heidi Kling, Josef Sommer, Joshua Jackson",United States,"Friday, July 3, 2020"
Movie,While You Were Sleeping,1995,PG,104 min,"Comedy, Drama, Romance",A lonely subway worker is mistaken for a comatose man's finacée.,s487,Jon Turteltaub,"Sandra Bullock, Bill Pullman, Peter Gallagher, Peter Boyle, Glynis Johns, Micole Mercurio",United States,"Friday, July 3, 2020"
